Project Name,Package Name,Type Name,Design Smell,Cause of the Smell,Repository
sim.constants,Constants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEBUG_TILE_IMAGES; DEBUG_SWING; DEBUG_WORLD; DEBUG_CHUNKPROVIDER; DEBUG_MC_SCHEMATICS; DEBUG_SCHEMATIC_DATA; DEBUG_TAG_COMPOUND; DEBUG_SKIP_LOADING; LOG_IGNORE_WARNINGS; OUTPUT_INDENT; CHUNKPROVIDERSTRING; PLAYERNAME; JOINEDSRG; METHODSCSV; FIELDSCSV; VERSION; MCPCONFFOLDER; MINECRAFTFOLDER; LIBRARYFOLDER; MINECRAFTJAR; REQUIREDMETHODS; REQUIREDFIELDS; REQUIREDCLASSES; WORLD_GETBLOCKSTATE; WORLD_SETBLOCKSTATE; IBLOCKSTATE_GETBLOCK; TILEENTITY_READFROMNBT; NBTTAGCOMPOUND_LOAD; BLOCKEVENTDATA_GETBLOCKPOS; CHUNKPRIMER_DATA; WORLD_THEPROFILER; NEXTTICKLISTENTRY_BLOCK; NEXTTICKLISTENTRY_BLOCKPOS; NEXTTICKLISTENTRY_PRIORITY; BLOCK_UNLOCALIZEDNAME; WORLDSERVER_SERVERBLOCKEVENTLIST; EXTENDEDBLOCKSTORAGE_DATA; LIBRARYCLASSES; WORLDTYPE; WORLDTYPEID; APPNAME; GAMETYPE; SEED; MAPFEATURESENABLED; HARDCOREENABLED; WORLDPROVIDER; TIMELINE_LENGTH,,CXgamer_MC-ticker
sim.constants,Constants,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: DEBUG_TILE_IMAGES; DEBUG_SWING; DEBUG_WORLD; DEBUG_CHUNKPROVIDER; DEBUG_MC_SCHEMATICS; DEBUG_SCHEMATIC_DATA; DEBUG_TAG_COMPOUND; DEBUG_SKIP_LOADING; LOG_IGNORE_WARNINGS; OUTPUT_INDENT; CHUNKPROVIDERSTRING; PLAYERNAME; JOINEDSRG; METHODSCSV; FIELDSCSV; VERSION; MCPCONFFOLDER; MINECRAFTFOLDER; LIBRARYFOLDER; MINECRAFTJAR; REQUIREDMETHODS; REQUIREDFIELDS; REQUIREDCLASSES; WORLD_GETBLOCKSTATE; WORLD_SETBLOCKSTATE; IBLOCKSTATE_GETBLOCK; TILEENTITY_READFROMNBT; NBTTAGCOMPOUND_LOAD; BLOCKEVENTDATA_GETBLOCKPOS; CHUNKPRIMER_DATA; WORLD_THEPROFILER; NEXTTICKLISTENTRY_BLOCK; NEXTTICKLISTENTRY_BLOCKPOS; NEXTTICKLISTENTRY_PRIORITY; BLOCK_UNLOCALIZEDNAME; WORLDSERVER_SERVERBLOCKEVENTLIST; EXTENDEDBLOCKSTORAGE_DATA; LIBRARYCLASSES; WORLDTYPE; WORLDTYPEID; APPNAME; GAMETYPE; SEED; MAPFEATURESENABLED; HARDCOREENABLED; WORLDPROVIDER; TIMELINE_LENGTH,,CXgamer_MC-ticker
sim.constants,Prefs,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EDITOR_MAXFPS; EDITOR_DEFAULTZOOM; EDITOR_COLOR_LAYER; EDITOR_COLOR_CURSOR; EDITOR_COLOR_ENTITY; EDITOR_COLOR_ENTITYSPEED; EDITOR_COLOR_SELECTIONBORDER; EDITOR_COLOR_SELECTIONINTERIOR,,CXgamer_MC-ticker
sim.constants,Prefs,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: EDITOR_MAXFPS; EDITOR_DEFAULTZOOM; EDITOR_COLOR_LAYER; EDITOR_COLOR_CURSOR; EDITOR_COLOR_ENTITY; EDITOR_COLOR_ENTITYSPEED; EDITOR_COLOR_SELECTIONBORDER; EDITOR_COLOR_SELECTIONINTERIOR,,CXgamer_MC-ticker
sim.exceptions,SchematicException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
sim.exceptions,UnimplementedException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
sim.loading,ClassTester,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
sim.loading,JoinedParser,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: readDeobfuscation,,CXgamer_MC-ticker
sim.logic,RBootstrap,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
sim.logic,RChunkProvider,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: chunks; emptyChunk; rBlockPos,,CXgamer_MC-ticker
sim.logic,RWorld,Feature Envy,The tool detected a instance of this smell because tickEntities is more interested in members of the type: REntity,,CXgamer_MC-ticker
sim.logic,SimWorld,Feature Envy,The tool detected a instance of this smell because getBlocks is more interested in members of the type: WorldInstance,,CXgamer_MC-ticker
sim.logic,SimWorld,Feature Envy,The tool detected a instance of this smell because getEntityObjects is more interested in members of the type: REntity,,CXgamer_MC-ticker
sim.logic,SimWorld,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 24 public methods,,CXgamer_MC-ticker
sim.objects,WorldInstance,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 31 public methods,,CXgamer_MC-ticker
(default package),StartSim,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
utils,CircularByteBuffer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_SIZE; INFINITE_SIZE; buffer; readPosition; writePosition; markPosition; markSize; infinite; blockingWrite; in; inputStreamClosed; out; outputStreamClosed,,CXgamer_MC-ticker
utils,CircularByteBuffer.CircularByteBufferInputStream,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,CXgamer_MC-ticker
utils,CircularByteBuffer.CircularByteBufferInputStream,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
utils,CircularByteBuffer.CircularByteBufferOutputStream,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,CXgamer_MC-ticker
utils,CircularByteBuffer.CircularByteBufferOutputStream,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
utils,Steneography,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
utils,Tag,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 30 methods,,CXgamer_MC-ticker
utils,Tag.Type,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,CXgamer_MC-ticker
utils,Tag.Type,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,CXgamer_MC-ticker
test,McMechanics,Feature Envy,The tool detected a instance of this smell because testCobbleGenerator is more interested in members of the type: SimWorld,,CXgamer_MC-ticker
test,McMechanics,Feature Envy,The tool detected a instance of this smell because testTileTick is more interested in members of the type: SimWorld,,CXgamer_MC-ticker
test,McMechanics,Feature Envy,The tool detected a instance of this smell because getData is more interested in members of the type: SimWorld,,CXgamer_MC-ticker
test,McMechanics,Feature Envy,The tool detected a instance of this smell because getId is more interested in members of the type: SimWorld,,CXgamer_MC-ticker
test,SetBlock,Feature Envy,The tool detected a instance of this smell because testSetBlock is more interested in members of the type: SimWorld,,CXgamer_MC-ticker
DeyAbhishek_Web-Development-Projects,com.suitehotel,CustomerFeedback,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,com.suitehotel,Login,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,com.suitehotel,Reserve,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,com.suitehotel,SignUp,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,controller,StandardsController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,controller,StandardsController,Feature Envy,The tool detected a instance of this smell because doPost is more interested in members of the type: StandardsDAO,DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,model,Standards,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 24 public methods,DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,in.infocom,Admin2Serv,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,in.infocom,AdminServ,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,in.infocom,LeaveServ,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,in.infocom,LogServ,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,in.infocom,NewServ,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,in.infocom,PayServ,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,in.infocom,SearchServ,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,com.socialnet.beans,UploadBean,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,com.socialnet.beans,AlbumBean,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,com.socialnet.beans,AlbumBean,Feature Envy,The tool detected a instance of this smell because addAlbum is more interested in members of the type: Album,DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,com.socialnet.beans,ForgotPasswordBean,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,com.socialnet.beans,FriendsBean,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,com.socialnet.beans,ProfileBean,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,com.socialnet.beans,ScrapBean,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,com.socialnet.beans,ScrapBean,Feature Envy,The tool detected a instance of this smell because postMsg is more interested in members of the type: Scrap,DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,com.socialnet.beans,ScrapBean,Feature Envy,The tool detected a instance of this smell because rplyMsg is more interested in members of the type: Scrap,DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,com.socialnet.beans,SearchFriendBean,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,com.socialnet.entity,Comment,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,com.socialnet.entity,Friend,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,com.socialnet.entity,Like,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,com.socialnet.entity,Photo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,com.socialnet.entity,Post,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,com.socialnet.entity,PostComment,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,com.socialnet.entity,PostLike,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,com.socialnet.entity,Profile,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,com.socialnet.entity,Profile,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods,DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,com.socialnet.entity,Registration,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods,DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,com.socialnet.entity,ScrapContent,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),DeyAbhishek_Web-Development-Projects
DeyAbhishek_Web-Development-Projects,com.socialnet.servlet,Upload,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),DeyAbhishek_Web-Development-Projects
edfullest_Mi-Primera-Applet,(default package),JuegoApplet,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),edfullest_Mi-Primera-Applet
EduardoCalle_ServiceBoot,com.software.bid_ucb.serviceboot,ApplicationTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),EduardoCalle_ServiceBoot
EduardoCalle_ServiceBoot,com.software.bid_ucb.serviceboot,MainActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),EduardoCalle_ServiceBoot
EduardoCalle_ServiceBoot,com.software.bid_ucb.serviceboot,ReceiverBoot,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),EduardoCalle_ServiceBoot
EduardoCalle_ServiceBoot,com.software.bid_ucb.serviceboot,ServiceBoot,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),EduardoCalle_ServiceBoot
huntdog1541_theoryhomework1,(default package),Main,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),huntdog1541_theoryhomework1
com.appcsv,BuildConfig,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: DEBUG,icol2006_appCSV
com.appcsv,BuildConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,icol2006_appCSV
com.appcsv,BuildConfig,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEBUG,,icol2006_appCSV
com.appcsv,R,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: azul; verde; ic_launcher; horizontalView; listadoDatos; name; score; activity_main; item_layout; app_name; AppBaseTheme; AppTheme,,icol2006_appCSV
com.appcsv,R,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: azul; verde; ic_launcher; horizontalView; listadoDatos; name; score; activity_main; item_layout; app_name; AppBaseTheme; AppTheme,,icol2006_appCSV
com.appcsv,R.attr,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,icol2006_appCSV
com.appcsv,R.attr,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,icol2006_appCSV
com.appcsv,R.color,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: azul; verde,icol2006_appCSV
com.appcsv,R.color,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,icol2006_appCSV
com.appcsv,R.color,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: azul; verde,,icol2006_appCSV
com.appcsv,R.drawable,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ic_launcher,icol2006_appCSV
com.appcsv,R.drawable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,icol2006_appCSV
com.appcsv,R.drawable,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ic_launcher,,icol2006_appCSV
com.appcsv,R.id,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: horizontalView; listadoDatos; name; score,icol2006_appCSV
com.appcsv,R.id,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,icol2006_appCSV
com.appcsv,R.id,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: horizontalView; listadoDatos; name; score,,icol2006_appCSV
com.appcsv,R.layout,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: activity_main; item_layout,icol2006_appCSV
com.appcsv,R.layout,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,icol2006_appCSV
com.appcsv,R.layout,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: activity_main; item_layout,,icol2006_appCSV
com.appcsv,R.string,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: app_name,icol2006_appCSV
com.appcsv,R.string,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,icol2006_appCSV
com.appcsv,R.string,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: app_name,,icol2006_appCSV
com.appcsv,R.style,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: AppBaseTheme; AppTheme,icol2006_appCSV
com.appcsv,R.style,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,icol2006_appCSV
com.appcsv,R.style,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: AppBaseTheme; AppTheme,,icol2006_appCSV
com.appcsv,MainActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,icol2006_appCSV
JCDias_CadastroUsuarios,cadastroUsuario.apresentacao,CadastroUsuariosForm,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods,JCDias_CadastroUsuarios
JCDias_CadastroUsuarios,cadastroUsuario.apresentacao,TelaPrincipalForm,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),JCDias_CadastroUsuarios
JCDias_CadastroUsuarios,cadastroUsuario.entidades,Usuario,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 42 public methods,JCDias_CadastroUsuarios
JCDias_CadastroUsuarios,cadastroUsuario.Excecoes,AQuantoTempoException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),JCDias_CadastroUsuarios
JCDias_CadastroUsuarios,cadastroUsuario.Excecoes,CamposVaziosException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),JCDias_CadastroUsuarios
JCDias_CadastroUsuarios,cadastroUsuario.Excecoes,CpfInvalidoException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),JCDias_CadastroUsuarios
JCDias_CadastroUsuarios,cadastroUsuario.Excecoes,CpfJaCadastradoException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),JCDias_CadastroUsuarios
JCDias_CadastroUsuarios,cadastroUsuario.Excecoes,DataInvalidaException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),JCDias_CadastroUsuarios
JCDias_CadastroUsuarios,cadastroUsuario.Excecoes,EmailInvalidoException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),JCDias_CadastroUsuarios
JCDias_CadastroUsuarios,cadastroUsuario.Excecoes,NomeInvalidoException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),JCDias_CadastroUsuarios
JCDias_CadastroUsuarios,cadastroUsuario.Excecoes,SelecioneException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),JCDias_CadastroUsuarios
jclayton23_Java,(default package),CondoSales,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),jclayton23_Java
jclayton23_Java,(default package),TwelveDays,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),jclayton23_Java
jipson7_sortingComparison-ScalaVsJava,bubblesort,Sort,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),jipson7_sortingComparison-ScalaVsJava
jipson7_sortingComparison-ScalaVsJava,bubblesort,Sort,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: list,jipson7_sortingComparison-ScalaVsJava
jipson7_sortingComparison-ScalaVsJava,(default package),Main,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),jipson7_sortingComparison-ScalaVsJava
jipson7_sortingComparison-ScalaVsJava,mergesort,Sort,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),jipson7_sortingComparison-ScalaVsJava
jipson7_sortingComparison-ScalaVsJava,mergesort,Sort,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: list; temp,jipson7_sortingComparison-ScalaVsJava
jipson7_sortingComparison-ScalaVsJava,quicksort,Sort,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),jipson7_sortingComparison-ScalaVsJava
jipson7_sortingComparison-ScalaVsJava,quicksort,Sort,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: list,jipson7_sortingComparison-ScalaVsJava
